sample-id	group
76-300m	n
76-500m	n
76-800m	n
76-1000m	n
76-1460m	n
78-2m	o
78-25m	o
78-50m	o
78-100m	o
78-150m	o
78-200m	o
78-300m	o
78-500m	o
78-800m	o
78-1000m	o
78-1500m	o
80-2m	p
80-25m	p
80-50m	p
80-75m	p
80-95m	p
80-150m	p
80-200m	p
80-300m	p
80-500m	p
80-800m	p
80-1000m	p
C1-10m	q
C1-30m	q
C1-45m	q
C1-70m	q
C1-90m	q
C1-120m	q
C3-10m	r
C3-32m	r
C3-50m	r
C3-70m	r
C3-90m	r
C3-120m	r
C5-10m	s
C5-30m	s
C5-40m	s
C5-70m	s
C5-90m	s
C5-120m	s
C7-10m	t
C7-34m	t
C7-50m	t
C7-70m	t
C7-90m	t
C7-120m	t
W1-10m	u
W1-50m	u
W1-82m	u
W1-100m	u
W1-120m	u
W1-160m	u
W3-10m	v
W3-50m	v
W3-86m	v
W3-100m	v
W3-120m	v
W3-160m	v
W5-10m	K
W5-50m	K
W5-91m	K
W5-100m	K
W5-120m	K
W5-160m	K
W7-10m	w
W7-50m	w
W7-92m	w
W7-100m	w
W7-120m	w
W7-160m	w
W9-10m	x
W9-50m	x
W9-87m	x
W9-100m	x
W9-120m	x
W9-160m	x
63-5	J
63-25	J
63-45	J
63-75	J
63-100	J
63-200	J
63-300	J
66-1000	J
A4	y
A5	y
A6	y
A7	y
A8	y
A9	y
A10	y
A11	y
A12	y
A13	y
A14	y
A15	y
A16	y
A17	y
A18	y
A19	y
A20	y
A21	y
B1	z
B2	z
B3	z
B4	z
B5	z
B6	z
B7	z
B8	z
B9	z
B10	z
B11	z
B12	z
B13	z
B14	z
B15	z
B16	z
B17	z
B18	z
B19	z
B20	z
B21	z
C1	A
C2	A
C3	A
C4	A
C5	A
C6	A
C7	A
C8	A
C9	A
C10	A
C12	A
C13	A
C14	A
C15	A
C16	A
C17	A
C18	A
C19	A
C20	A
C21	A
C22	A
C24	A
D1	B
D2	B
D3	B
D4	B
D5	B
D6	B
D7	B
D8	B
D9	B
D10	B
D11	B
D12	B
D13	B
D14	B
D15	B
D16	B
D17	B
D18	B
D19	B
D20	B
D21	B
D22	B
D23	B
D24	B
E1	C
E2	C
E6	C
E7	C
E8	C
E9	C
E12	C
E13	C
E14	C
E15	C
E16	C
E17	C
E18	C
E19	C
E20	C
E21	C
E22	C
E23	C
E24	C
F1	D
F2	D
F3	D
F4	D
F5	D
F6	D
F7	D
F8	D
F9	D
F10	D
F11	D
F12	D
F13	D
F14	D
F18	D
F19	D
F20	D
F21	D
F22	D
F23	D
F24	D
G1	F
G2	F
G3	F
G4	F
G5	F
G7	F
G8	F
G9	F
G10	F
G11	F
G12	F
G13	F
G14	F
G15	F
G16	F
G17	F
G18	F
G19	F
G20	F
G21	F
G22	F
G23	F
G24	F
G25	F
H1	G
H2	G
H3	G
H4	G
H5	G
H6	G
H7	G
H8	G
H9	G
H10	G
H11	G
H12	G
H13	G
H15	G
H16	G
H17	G
H18	G
H19	G
H20	G
H21	G
H22	G
H23	G
H24	G
I7	H
I8	H
I9	H
I10	H
S-1	I
S-2	I
S-3	I
S-5	I
S-6	I
S-7	I
S-8	I
S-9	I
S-11	I
S-12	I
S-13	I
S-14	I
S-15	I
S-16	I
S-17	I
S-18	I
S-19	I
S-20	I
S-22	I
S-23	I
S-24	I
Yangtze-B1-2m	Y.a
Yangtze-B1-12m	Y.a
Yangtze-B2-2m	Y.a
Yangtze-B2-13m	Y.a
Yangtze-B3-2m	Y.a
Yangtze-B3-11m	Y.a
Yangtze-C1-2m	Y.b
Yangtze-C1-8m	Y.b
Yangtze-C2-2m	Y.b
Yangtze-C2-15m	Y.b
Yangtze-C3-2m	Y.b
Yangtze-C3-10m	Y.b
Yangtze-C4-2m	Y.b
Yangtze-C4-5m	Y.b
Yangtze-C5-2m	Y.b
Yangtze-C5-7m	Y.b
Yangtze-A51-2m	Y.c
Yangtze-A51-7m	Y.c
Yangtze-A58-2m	Y.c
Yangtze-A58-25m	Y.c
Yangtze-A58-45m	Y.c
Yangtze-A68-2m	Y.c
Yangtze-A68-30m	Y.c
Yangtze-A68-60m	Y.c
Yangtze-T1.0H-2m	Y.d
Yangtze-T1.0H-17m	Y.d
Yangtze-T1.3H-2m	Y.d
Yangtze-T1.3H-17m	Y.d
Yangtze-T1.6H-2m	Y.d
Yangtze-T1.6H-17m	Y.d
Yangtze-T1.9H-2m	Y.d
Yangtze-T1.9H-17m	Y.d
Yangtze-T1.12H-2m	Y.d
Yangtze-T1.12H-17m	Y.d
Yangtze-T1.15H-2m	Y.d
Yangtze-T1.15H-17m	Y.d
Yangtze-T1.18H-2m	Y.d
Yangtze-T1.18H-17m	Y.d
Yangtze-T1.21H-2m	Y.d
Yangtze-T1.21H-17m	Y.d
Yangtze-T2.0H-2m	Y.e
Yangtze-T2.0H-30m	Y.e
Yangtze-T2.0H-55m	Y.e
Yangtze-T2.3H-2m	Y.e
Yangtze-T2.3H-30m	Y.e
Yangtze-T2.3H-55m	Y.e
Yangtze-T2.6H-2m	Y.e
Yangtze-T2.6H-30m	Y.e
Yangtze-T2.6H-55m	Y.e
Yangtze-T2.9H-2m	Y.e
Yangtze-T2.9H-30m	Y.e
Yangtze-T2.9H-55m	Y.e
Yangtze-T2.12H-2m	Y.e
Yangtze-T2.12H-30m	Y.e
Yangtze-T2.12H-55m	Y.e
Yangtze-T2.15H-2m	Y.e
Yangtze-T2.15H-30m	Y.e
Yangtze-T2.15H-55m	Y.e
Yangtze-T2.18H-2m	Y.e
Yangtze-T2.18H-30m	Y.e
Yangtze-T2.18H-55m	Y.e
Yangtze-T2.21H-2m	Y.e
Yangtze-T2.21H-30m	Y.e
Yangtze-T2.21H-55m	Y.e
Yangtze-T2.24H-2m	Y.e
Yangtze-T2.24H-30m	Y.e
Yangtze-T2.24H-55m	Y.e
Yangtze-A61-2m	Y.f
Yangtze-A61-8m	Y.f
Yangtze-A63-2m	Y.f
Yangtze-A63-20m	Y.f
Yangtze-A63-35m	Y.f
Yangtze-A65-2m	Y.f
Yangtze-A65-30m	Y.f
